rank,odds,old,jockey_weight,frame_order,horse_weight
0,5.8,3,54,3,444
1,5.6,3,54,2,490
1,9.6,3,54,6,460
0,95.6,3,54,4,484
0,2.3,3,56,2,460
0,6.3,3,54,5,452
0,2.0,2,54,7,466
0,2.2,2,54,8,450
0,4.2,3,54,3,466
0,1.6,3,54,5,522
0,52.0,3,54,7,504
1,14.7,3,54,4,462
1,42.3,4,57,1,500
0,8.3,4,54,4,462
0,118.8,5,55,2,504
0,9.6,3,53,1,494
1,48.1,5,55,6,484
1,21.4,4,55,3,440
0,1.1,8,62,4,530
0,3.6,2,54,2,474
0,1.4,2,54,3,488
0,5.3,2,54,1,482
1,41.0,2,54,5,438
1,35.7,2,54,6,456
0,25.5,4,57,5,508
0,18.5,4,57,2,486
0,3.8,4,57,6,490
1,2.7,4,57,3,474
0,2.6,3,54,8,472
0,1.4,3,52,8,460
0,6.0,3,54,5,486
0,7.9,5,55,1,428
1,35.6,6,55,3,450
1,26.5,6,55,7,428
0,3.1,2,54,8,508
0,5.3,2,54,4,470
0,61.6,2,54,1,456
0,8.7,2,54,8,498
0,1.3,2,54,7,460
0,9.2,2,54,5,448
0,7.1,3,56,3,500
0,2.6,3,56,7,476
0,13.0,3,56,8,474
1,3.2,3,56,4,488
1,11.6,3,56,4,520
0,1.8,2,54,8,456
0,10.2,2,54,7,426
0,6.9,3,53,2,416
0,22.6,4,57,6,464
0,3.5,4,57,7,482
1,4.5,3,55,5,442
1,7.1,4,57,2,466
0,1.3,4,57,4,506
0,26.4,5,57,4,542
0,28.5,4,57,2,460
0,6.8,4,55,3,470
0,4.9,4,55,2,430
0,32.9,4,55,7,506
1,1.7,4,55,5,446
1,14.0,3,52,6,434
0,26.1,3,53,2,472
0,2.5,3,54,5,476
0,4.6,4,57,3,452
0,13.2,5,57,1,448
1,3.2,3,54,6,494
1,12.2,3,54,7,456
0,9.3,3,54,7,434
0,4.2,3,54,3,450
0,6.0,3,53,3,532
0,10.6,5,55,2,494
0,11.4,4,55,8,470
1,6.1,4,55,7,438
1,19.0,4,55,5,444
0,10.3,2,54,8,466
0,6.8,2,54,2,440
0,1.4,2,54,7,520
0,55.1,2,54,5,458
0,2.6,2,54,3,452
0,9.5,3,54,4,472
0,15.0,3,54,5,440
0,15.5,3,52,2,484
0,4.4,3,54,5,418
0,6.3,3,56,8,492
0,4.0,3,56,2,440
1,28.3,3,54,3,472
1,25.5,3,55,1,448
0,32.0,2,54,2,466
0,7.8,2,54,3,494
0,1.2,2,54,7,524
0,3.5,4,57,1,466
0,19.5,4,57,5,462
0,15.0,3,53,2,446
1,5.9,3,55,5,452
0,3.9,4,55,6,492
0,5.4,3,51,8,490
0,57.2,6,55,7,456
1,43.6,4,55,4,464
1,75.7,4,52,7,460
0,9.6,4,57,1,444
0,19.2,5,57,8,462
0,3.2,4,57,7,472
1,2.8,4,57,8,482
0,5.8,4,57,5,474
0,39.2,6,53,6,456
0,4.2,5,56,1,464
0,3.0,4,58,7,446
1,13.2,4,54,2,454
1,7.3,5,54,4,492
0,2.2,4,57,2,452
0,9.0,3,55,4,464
0,18.0,2,54,5,502
0,55.3,2,54,4,438
0,2.4,2,54,7,446
0,6.4,2,54,3,448
0,3.2,2,54,4,460
0,2.0,2,54,6,484
0,6.3,3,54,2,452
0,4.2,3,51,3,458
0,25.7,3,54,1,494
1,11.1,3,53,3,468
1,141.0,3,56,8,444
0,2.1,2,54,1,460
0,3.0,3,56,6,450
0,8.6,3,54,5,472
0,66.6,3,51,3,418
1,34.6,3,56,4,498
1,19.0,3,56,2,420
0,2.4,3,55,8,484
0,4.7,4,57,6,440
0,9.7,4,57,5,488
0,8.4,3,53,7,466
0,4.3,2,54,1,454
0,4.7,2,54,8,458
0,12.5,3,52,6,430
0,5.4,4,55,5,512
0,7.4,5,57,8,484
0,42.2,7,55,3,466
0,3.1,3,52,7,520
0,1.4,4,57,6,474
0,96.6,3,54,2,450
1,14.1,4,55,1,486
1,44.9,3,54,8,460
0,1.3,2,54,7,480
0,13.6,2,54,8,442
0,19.4,2,54,4,472
0,1.4,2,54,5,446
0,4.0,3,56,8,490
0,20.3,3,56,4,492
0,3.7,3,56,3,446
1,4.1,3,56,5,490
1,25.6,3,54,7,404
0,9.9,5,60,5,452
0,2.6,0,8,7,470
0,1.3,2,54,5,470
0,9.8,2,54,2,486
0,4.2,2,54,1,508
1,8.7,2,54,3,462
1,47.6,2,54,4,458
0,15.0,2,54,7,452
0,7.0,4,55,3,474
0,4.2,3,55,8,480
0,5.5,4,57,7,512
0,19.0,4,57,3,466
0,6.7,3,51,4,504
1,2.1,4,57,6,490
1,29.0,3,52,5,474
0,2.7,4,56,7,486
0,5.5,4,57,3,472
0,18.0,5,54,5,492
1,37.2,4,56,1,478
0,1.4,4,57,8,500
0,5.2,5,57,4,470
0,50.9,5,55,6,450
1,23.6,5,57,2,458
1,126.0,5,57,7,512
0,2.7,3,56,3,460
0,4.6,3,56,2,468
0,16.7,3,56,6,496
1,2.7,3,56,7,486
0,3.4,3,55,3,498
0,2.7,3,55,7,500
0,43.9,5,57,4,468
0,1.2,2,54,2,466
0,23.3,2,54,6,522
0,14.4,2,54,1,466
0,2.4,2,54,8,436
0,4.9,2,54,5,430
0,8.0,2,54,5,430
0,3.4,2,54,6,466
1,13.7,2,54,4,470
1,45.4,2,53,3,448
0,3.3,3,56,5,464
0,8.0,3,54,1,472
0,3.0,3,56,3,502
1,23.3,3,56,4,528
1,12.1,3,54,8,438
0,10.2,2,54,8,444
0,2.3,2,54,5,460
0,25.3,2,54,5,462
1,28.2,2,54,6,438
